text,title
"ENDURING LITERATURE ILLUMINATED BY PRACTICAL SCHOLARSHIP   EACH ENRICHED CLASSIC EDITION INCLUDES:  ? A concise introduction that gives readers important background information  ? A chronology of the author's life and work  ? A timeline of significant events that provides the book's historical context  ? An outline of key themes and plot points to help readers form their own interpretations  ? Detailed explanatory notes  ? Critical analysis, including contemporary and modern perspectives on the work  ? Discussion questions to promote lively classroom and book group interaction  ? A list of recommended related books and films to broaden the reader's experience  Enriched Classics offer readers affordable editions of great works of literature enhanced by helpful notes and insightful commentary. The scholarship provided in Enriched Classics enables readers to appreciate, understand, and enjoy the world's finest books to their full potential.  SERIES EDITED BY CYNTHIA BRANTLEY JOHNSON",Time Machine
"This is the first edition of Plato's Republic to be based on an exhaustive examination of all the textual evidence - manuscripts, including papyri; quotations and allusions in ancient authors; and translations into Coptic, Arabic, and Hebrew. The three primary manuscripts have been examined with particular care. Many new readings have been introduced in the text and a critical apparatus gives details for all relevant textual evidence.",Platonis Rempvblicam
"A novel about the survivors of an atomic war, who face an inevitable end as radiation poisoning moves toward Australia from the North.",On the Beach
The story of Dr. Frankenstein and the obsessive experiment that leads to the creation of a monstrous and deadly creature.,Frankenstein
"Daniel Defoe’s first novel, published in 1719, is considered by many to be the first novel in English, and its success was so enormous that by the end of the 19th century it had spawned more translations and versions than any other English book. Its central importance to the canon lies not just in being first, but also in being one of the best, and in Crusoe the author created an everyman character. Defoe’s castaway?shipwrecked, imperiled, and facing a host of elemental challenges?lives an archetypal life of survival, adventure, and personal development. Children of all ages, not to mention their parents, delight in cabin boy Jim Hawkins and the treasure hunt he undertakes in this rollicking narrative of cliff-hanging adventure. But more than a children’s classic, the novel lays claim to being one of the greatest feats of storytelling in the English language, with characters such as the unforgettable Long John Silver becoming part of the cultural consciousness. Stevenson’s most famous and enduringly popular work, this coming-of-age story will captivate both adults and children for as long as stories are told.",Robinson Crusoe
"The ""Heinemann Plays"" series offers contemporary drama and classic plays in durable classroom editions. Many have large casts and an equal mix of boy and girl parts. This dramatization of George Orwell's ""Animal Farm"" comes with lyrics by Adrian Mitchell and music by Richard Peaslee.","Play of ""Animal Farm"""
"Now available in a new translation, this classic of nineteenth century French literature has been consistently praised for its style and its vision of the world. Professor Lidenbrock and his nephew Axel travel across Iceland, and then down through an extinct crater toward a sunless sea where they enter a living past and are confronted with the origins of man. Exploring the prehistory of the globe, this novel can also be read as a psychological quest, for the journey itself is as important as arrival or discovery. Verne's distinctive combination of realism and Romanticism has marked figures as diverse as Sartre and Tournier, Mark Twain and Conan Doyle.",Journey to the Centre of the Earth
"One of the few survivors of the 1943 Warsaw ghetto uprising, Holocaust scholar Gutman draws on dairies, personal letters, and underground press reports in this compelling, authoratative account of a landmark event in Jewish history. Here, too, is a portrait of the vibrant culture that shaped the young fightersm whose inspired defiance would have far reaching implications for the Jewish people and the State of Isreal, founded exactly fifty years ago.   Note: Some of the photos contained in the print edition of this book have been excluded from the e-book edition due to permissions issues.",Resistance : The Warsaw Ghetto Uprising
"In a sturdy, die-cut board book, Little Critter gets to do what he has always dreamed about doing: drive a dump truck!",Just a Dump Truck
"This edition of Swift's classic novel presents the 1965 Herbert Davis Edition (based on the Faulkner Edition of 1735) along with five critical essays - newly commissioned or revised for a student audience - that read Gulliver's Travels from five contemporary critical perspectives.Each critical essay is accompanied by a succinct introduction to the history, principles, and practice of the critical perspective and by a bibliography that promotes further exploration of that approach.In addition, the text and essays are complemented by an introduction providing biographical and historical contexts to Swift and Gulliver's Travels, a survey of critical responses to the novel since its initial publication, and a glossary of critical and theoretical terms.",Gulliver's Travels
